model,epoch,train_loss,train_hidden,train_observed,train_kl,train_arb,train_arb_calendar,train_arb_butterfly,val_loss,val_hidden,val_observed,val_kl,val_arb,val_arb_calendar,val_arb_butterfly
MLP-VAE,44,0.07278153849026514,0.049897552683712945,0.045723927943479445,18.311592089940632,0.0,0.0,0.0,0.060261887560288115,0.038919899419501976,0.03524718797869152,17.817262939170554,0.0,0.0,0.0
MLP-VAE,45,0.07291422476844182,0.05025557123479389,0.04613136730733372,18.045513879685174,0.0,0.0,0.0,0.060351829120406396,0.03880073773088279,0.03612120501973011,17.938966807612665,0.0,0.0,0.0
ConvVAE,1,1.146265511285691,1.0416550125394548,1.0447632782042973,0.134139103832699,0.0,0.0,0.0,1.1214993679964984,1.019189308749305,1.0143173151546054,0.8783949957953558,0.0,0.0,0.0
ConvVAE,2,0.9498828110240755,0.8514612773108103,0.8548696584171719,12.934594308762323,0.0,0.0,0.0,0.650565293541661,0.5522959307388023,0.5561414928347976,42.655215694286206,0.0,0.0,0.0
ConvVAE,3,0.5522409829828474,0.4689588539184086,0.47184504894983204,36.09760199652778,0.0,0.0,0.0,0.3108603620970691,0.23602657240849953,0.2424569351805581,50.588091956244575,0.0,0.0,0.0
ConvVAE,4,0.33376734294588606,0.27270410269025774,0.27325993483028715,33.73724464537605,0.0,0.0,0.0,0.23348482218053607,0.19708947164041024,0.202240448196729,16.17130786754467,0.0,0.0,0.0
ConvVAE,5,0.26156432780008465,0.22171350991915142,0.2262506163309491,17.22575583685012,0.0,0.0,0.0,0.1951422820488612,0.16084386529745878,0.1652360141277313,17.774817134715892,0.0,0.0,0.0
ConvVAE,6,0.23397305286119854,0.19655693182869563,0.1908967195049165,18.326445685492622,0.0,0.0,0.0,0.18115804051911388,0.14507259119440008,0.148462336813962,21.23920423719618,0.0,0.0,0.0
ConvVAE,7,0.21111588705153692,0.1719744814766778,0.16601382763612837,22.540017112853036,0.0,0.0,0.0,0.16360618869463603,0.12521244182630822,0.1261477169063356,25.778974858036747,0.0,0.0,0.0
ConvVAE,8,0.18205224242475299,0.14330655875660125,0.1385225458750649,24.893431708926247,0.0,0.0,0.0,0.13719152830265186,0.10343908043923201,0.10348033171009134,23.404416529337563,0.0,0.0,0.0
ConvVAE,9,0.15951221940063295,0.12432486074311393,0.12112210154060334,23.075142415364585,0.0,0.0,0.0,0.11131103662429033,0.08135097518011376,0.08346495357928453,21.61356432172987,0.0,0.0,0.0
ConvVAE,10,0.14765804655968195,0.11517473882625974,0.11106113576226764,21.377188740079365,0.0,0.0,0.0,0.1046729361017545,0.07751320197626396,0.07712028081770296,19.44770885043674,0.0,0.0,0.0
